buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,radiusDist
7,Edith Green - Wendell Wyatt Federal Building,-0.8599967999999976,536.5120761009214,396.1092658825653,63.3499985,361,18,1974,7644112.593,681159.6804,1000
13,Mark O. Hatfield United States Courthouse,13.640003200000002,522.8961490856161,425.188634698143,48.8499985,318,16,1997,7644333.752,681700.8291,1000
6,Standard Insurance Center,4.9400024999999985,665.8469914056634,558.8065623937084,57.5499992,367,27,1970,7643902.29,682077.1982,1000
20,One Main Place,16.3800011,633.6237444073979,580.6513115759022,46.1100006,270,20,1980,7644528.963,681543.5948,1000
12,Congress Center,-7.999996200000005,673.5190899411496,587.6963221048387,70.4899979,321,23,1980,7643542.585,681945.0571,1000
0,Wells Fargo Center,-18.310001399999997,820.0854538008623,595.0582945020582,80.8000031,546,40,1972,7643513.061,681115.0571,1000
4,PacWest Center,-19.170002000000004,745.1830701874712,603.4734438609089,81.6600037,418,30,1984,7643345.51,681504.5833,1000
2,KOIN Center,-10.450000699999997,972.5117657262886,822.162290091703,72.9400024,509,35,1984,7643943.446,680698.1837,1000
17,1000 Broadway,-20.6399956,951.5061327081748,900.0584834872113,83.1299973,288,23,1991,7643239.794,682074.8077,1000
25,Umpqua Bank Plaza,11.300003099999998,963.9176318599724,930.4753154012617,51.1899986,263,19,1975,7644530.13,680793.8205,1000
